,hsa.miR.200b.3p,hsa.miR.200a.5p,hsa.miR.1976,hsa.miR.197.3p,hsa.miR.942.3p,hsa.miR.556.3p,hsa.miR.1295a,hsa.miR.181b.5p,hsa.miR.181b.3p,hsa.miR.181a.3p,hsa.miR.135b.5p,hsa.miR.135b.3p,hsa.miR.29c.5p,hsa.miR.29c.3p,hsa.miR.29b.2.5p,hsa.miR.215.3p,hsa.miR.194.5p,hsa.miR.4677.3p,hsa.miR.605.5p,hsa.miR.107,hsa.miR.6507.5p,hsa.miR.146b.5p,hsa.miR.1307.5p,hsa.miR.202.5p,hsa.miR.192.5p,hsa.miR.194.3p,hsa.miR.139.5p,hsa.miR.139.3p,hsa.miR.326,hsa.miR.708.3p,hsa.miR.6755.5p,hsa.miR.1304.5p,hsa.miR.141.5p,hsa.miR.196a.5p,hsa.miR.148b.5p,hsa.let.7i.3p,hsa.miR.3613.5p,hsa.miR.16.5p,hsa.miR.16.1.3p,hsa.miR.15a.5p,hsa.miR.17.5p,hsa.miR.17.3p,hsa.miR.18a.5p,hsa.miR.19a.3p,hsa.miR.20a.5p,hsa.miR.19b.1.5p,hsa.miR.92a.1.5p,hsa.miR.5586.5p,hsa.miR.3173.5p,hsa.miR.345.3p,hsa.miR.628.3p,hsa.miR.629.5p,hsa.miR.6511b.3p,hsa.miR.365a.3p,hsa.miR.484,hsa.miR.328.3p,hsa.miR.195.5p,hsa.miR.195.3p,hsa.miR.497.5p,hsa.miR.4521,hsa.miR.744.3p,hsa.miR.451a,hsa.miR.144.5p,hsa.miR.144.3p,hsa.miR.4732.3p,hsa.miR.193a.5p,hsa.miR.365b.3p,hsa.miR.6510.3p,hsa.miR.454.3p,hsa.miR.301a.3p,hsa.miR.21.5p,hsa.miR.21.3p,hsa.miR.3615,hsa.miR.133a.3p,hsa.miR.133a.5p,hsa.miR.1.3p,hsa.miR.3940.3p,hsa.miR.639,hsa.miR.642a.5p,hsa.miR.769.5p,hsa.let.7e.3p,hsa.miR.125a.5p,hsa.miR.1301.3p,hsa.miR.548ba,hsa.miR.3682.3p,hsa.miR.5000.3p,hsa.miR.128.3p,hsa.miR.4444,hsa.miR.1258,hsa.miR.153.3p,hsa.miR.149.5p,hsa.miR.103a.3p,hsa.miR.548o.3p,hsa.miR.802,hsa.miR.185.5p,hsa.miR.1306.5p,hsa.miR.301b.3p,hsa.miR.301b.5p,hsa.miR.130b.3p,hsa.miR.3199,hsa.miR.885.5p,hsa.miR.26a.1.3p,hsa.miR.425.5p,hsa.miR.191.5p,hsa.miR.16.2.3p,hsa.miR.551b.3p,hsa.miR.378d,hsa.miR.95.3p,hsa.miR.574.3p,hsa.miR.576.5p,hsa.miR.577,hsa.miR.4454,hsa.miR.887.5p,hsa.miR.581,hsa.miR.143.3p,hsa.miR.145.5p,hsa.miR.145.3p,hsa.miR.378a.5p,hsa.miR.6720.3p,hsa.miR.5683,hsa.miR.219a.5p,hsa.miR.133b,hsa.miR.30c.2.3p,hsa.miR.30a.5p,hsa.miR.30a.3p,hsa.miR.3662,hsa.miR.339.5p,hsa.miR.196b.5p,hsa.miR.550a.5p,hsa.miR.590.5p,hsa.miR.590.3p,hsa.miR.93.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.96.5p,hsa.miR.183.5p,hsa.miR.183.3p,hsa.miR.335.5p,hsa.miR.335.3p,hsa.miR.29a.5p,hsa.miR.29b.1.5p,hsa.miR.490.5p,hsa.miR.490.3p,hsa.miR.671.5p,hsa.miR.671.3p,hsa.miR.3622a.3p,hsa.miR.486.5p,hsa.miR.4661.5p,hsa.miR.7705,hsa.miR.151a.5p,hsa.miR.151a.3p,hsa.miR.491.5p,hsa.miR.204.5p,hsa.let.7f.1.3p,hsa.let.7d.5p,hsa.let.7d.3p,hsa.miR.6854.5p,hsa.miR.32.3p,hsa.miR.181b.2.3p,hsa.miR.4770,hsa.miR.222.5p,hsa.miR.532.5p,hsa.miR.188.5p,hsa.miR.500a.3p,hsa.miR.501.3p,hsa.miR.500b.3p,hsa.miR.502.5p,hsa.miR.98.5p,hsa.miR.98.3p,hsa.miR.421,hsa.miR.374b.3p,hsa.miR.766.3p,hsa.miR.106a.5p,hsa.miR.542.3p,hsa.miR.503.5p,hsa.miR.504.5p,hsa.miR.224.5p,hsa.miR.452.3p
TCGA.A6.6648.01A,10310,11513,42,812,19,0,2,398,28,256,24,0,49,5639,42,53,129315,17,1,262,2,952,1159,4,399621,2042,63,19,21,22,10,14,4245,1417,4,131,26,1654,22,536,3771,1758,126,136,2305,97,71,3,4,6,1,514,3,54,128,48,139,11,41,0,69,2565,691,65,1,444,54,4,21,32,578013,19386,9,23,0,115,2,3,15,70,6,489,17,0,7,5,558,8,0,10,20,51527,6,0,327,35,12,5,161,1,0,4,1427,3079,29,1,2,46,152,46,131,0,0,3,388431,3943,82,685,2,2,5,6,26,9334,3564,2,63,27143,51,70,23,25818,1101,29595,30,19359,1,60,1592,37,61,0,2,12,12,1,525,38,3,383,15531,6,7,13,767,1280,0,13,1,0,47,6160,28,1737,331,15,5,203,3,20,9,12,69,200,5,0,216,30
TCGA.A6.6649.01A,9402,12679,51,956,3,2,2,3487,226,1612,634,9,120,10478,123,37,66859,32,2,380,1,1487,897,0,188600,959,159,45,18,210,6,3,4612,618,5,346,43,2115,13,533,3856,2793,82,139,2162,91,62,10,0,6,1,437,8,120,231,73,308,11,105,1,43,693,237,35,0,808,120,5,29,32,803708,11943,21,396,6,829,2,3,14,70,62,1931,32,0,5,8,646,8,1,30,34,85676,4,0,213,26,2,3,76,8,0,4,1203,2643,39,1,4,13,280,22,121,1,1,2,2088423,25585,491,352,8,17,1,120,96,37120,14323,3,62,10679,37,42,25,15860,943,87173,78,42876,2,93,610,42,23,6,55,14,11,0,207,25,4,313,13631,2,4,11,1390,1957,4,0,9,2,49,3800,13,1007,174,7,7,327,4,16,10,25,53,370,15,5,175,30
TCGA.A6.6651.01A,2381,2270,44,629,5,0,1,943,42,514,43,0,100,23866,100,2,35357,25,4,316,1,2258,194,12,54303,292,442,202,36,219,4,4,1679,719,2,325,15,1662,11,454,1302,876,39,58,878,22,12,10,1,2,4,477,9,218,158,72,691,27,144,2,51,436,106,13,1,1255,219,4,31,29,1032926,9171,7,1039,9,2912,0,6,5,101,86,2508,38,3,7,8,555,6,23,3,73,63778,2,0,193,25,3,1,58,9,1,2,349,1318,31,4,10,17,331,12,11,1,4,3,7604152,65070,1538,549,2,150,1,363,226,67494,37764,2,79,10216,26,29,18,10392,656,17373,17,7520,0,63,463,8,9,40,374,7,12,3,130,16,1,222,14705,8,53,11,1100,1304,3,1,1,17,24,4261,10,997,154,9,4,356,2,20,10,34,45,988,14,8,125,14
TCGA.A6.6652.01A,16362,335,9,1288,5,1,3,448,266,2197,473,63,20,1161,17,1,32421,46,0,318,1,858,217,0,87233,1781,64,22,18,142,4,3,835,198,4,80,66,731,34,163,485,7877,11,226,177,39,7,4,1,5,5,124,3,102,59,46,104,3,28,2,18,499,145,10,1,868,102,4,31,46,407907,8508,5,103,1,211,0,3,11,59,85,1148,14,1,5,6,471,9,1,19,100,122108,7,0,68,32,29,2,165,2,0,10,188,858,106,7,2,109,137,18,172,0,3,0,639486,10306,167,79,4,1,3,19,57,15269,5413,6,21,5068,4,22,41,2998,332,3861,30,8303,7,88,974,13,16,1,11,22,12,0,161,5,1,115,11544,10,4,11,367,2083,3,5,6,0,10,5859,1,1328,165,7,0,72,9,6,29,12,9,602,6,0,55,63
TCGA.A6.6653.01A,15877,18431,42,2671,9,6,2,954,25,281,327,9,76,2497,103,265,165986,31,4,488,0,2094,1209,0,397209,3205,72,16,66,111,6,17,5310,1572,15,191,41,3717,29,887,5407,2701,210,206,2246,72,28,4,6,18,12,1179,12,76,315,86,55,3,32,2,264,3451,1017,85,1,908,76,1,47,87,1026141,23998,63,27,0,45,2,4,33,188,34,1076,54,0,7,11,1229,3,0,23,46,149570,3,0,553,82,24,15,285,2,0,3,2602,6940,42,1,3,32,564,53,744,0,1,2,406907,6816,130,1143,1,3,3,2,63,17104,5321,13,113,4493,84,103,23,44635,1936,104959,97,73326,12,66,1230,57,62,0,0,25,8,0,1137,27,3,738,18836,17,5,32,2747,3902,1,6,8,0,61,4380,22,1772,356,4,6,419,2,59,27,33,71,1765,72,0,322,28
TCGA.A6.6654.01A,6100,6787,86,1165,7,0,2,1775,89,1250,154,6,107,20402,102,5,44157,44,3,547,3,4649,320,0,85363,517,421,160,37,284,9,5,3568,597,2,623,26,2580,14,563,1876,1641,70,68,1350,51,29,13,4,6,7,863,10,282,335,86,618,38,175,5,38,816,132,8,0,2085,281,1,22,15,1807737,23290,25,834,6,1563,8,4,7,169,55,1976,45,5,7,19,1071,9,10,22,71,82833,7,0,432,34,5,1,109,10,0,5,1287,2442,43,1,11,56,429,26,71,0,3,1,7752284,65542,1167,705,5,10,1,390,160,51381,25646,1,119,5256,57,33,19,17493,1422,51715,58,20089,0,50,635,38,23,22,277,20,18,0,236,27,1,261,23131,14,11,17,1599,1853,3,7,6,14,38,4424,14,951,179,12,3,411,6,23,22,53,39,946,37,7,293,43
TCGA.A6.A567.01A,21078,12468,84,1468,6,2,1,1621,73,1263,1013,16,85,7157,129,3,160498,28,3,328,3,2652,1060,2,245270,1819,279,37,2,284,13,1,3541,1538,12,126,78,2457,32,1492,8915,3884,133,413,9822,117,71,3,3,0,1,493,13,437,259,76,151,20,89,0,58,2730,747,24,2,1054,437,0,82,85,2447154,21931,51,822,14,1374,0,1,10,105,93,4609,32,0,4,22,492,8,2,10,96,247107,3,0,213,12,10,4,85,2,0,13,2411,3210,41,0,7,38,228,98,127,0,5,3,879418,48027,726,524,6,53,8,91,78,54872,8265,18,192,1887,18,84,26,48637,1461,102220,96,43550,2,73,1793,124,113,9,149,15,9,0,613,46,10,559,6783,6,8,6,1164,1951,7,9,2,0,35,10969,22,3870,355,9,8,352,5,21,14,30,125,1319,55,1,930,65
TCGA.A6.A56B.01A,11148,12228,58,1322,1,0,0,3920,274,2658,243,6,56,3655,96,2,86208,33,1,378,0,2139,1214,4,213627,2168,184,20,6,414,3,4,2798,1065,14,214,49,2776,27,1356,8702,3070,245,467,6474,100,91,13,1,11,3,406,11,226,315,110,109,16,57,0,127,606,88,3,0,611,226,0,102,85,1151747,27350,78,354,4,400,2,2,3,137,25,1659,50,3,6,7,489,3,0,31,187,154831,1,0,221,22,19,2,138,2,2,4,3342,5175,45,1,0,24,250,43,67,1,0,5,389516,24955,451,473,2,24,7,33,46,32700,6093,5,227,22006,27,56,20,70432,2403,236913,227,99097,1,68,1100,100,119,2,72,45,8,0,87,16,3,632,6639,14,101,18,1667,2571,4,11,9,0,23,6755,34,4549,589,11,14,274,5,18,37,40,72,1529,229,6,1458,87
TCGA.AA.3664.01A,448,1566,4,89,0,0,0,29,3,4,134,4,7,75,13,30,7466,7,0,27,0,125,1186,0,117346,123,7,0,0,7,1,0,247,199,3,3,4,587,1,16,801,116,8,24,150,10,2,0,0,1,1,86,0,3,12,11,5,0,1,0,54,70,39,0,0,31,3,0,3,14,32190,1488,3,1,0,2,0,1,7,21,1,21,1,0,0,1,32,1,0,0,1,3489,1,0,25,3,0,5,7,0,0,10,89,389,3,1,0,2,10,5,262,0,0,0,10159,126,15,24,0,0,0,0,1,764,160,1,3,2544,1,13,1,1875,99,5148,4,4784,1,6,111,13,9,0,0,3,0,0,17,0,1,150,1063,0,0,0,44,236,1,1,3,0,14,805,3,162,35,1,0,22,0,1,0,6,45,23,0,0,96,25
TCGA.AA.3666.01A,1048,4251,6,357,1,0,0,90,5,30,147,7,38,285,19,9,16214,12,0,65,0,498,1221,0,157630,305,16,1,2,5,2,0,1507,260,2,56,11,2399,18,167,1585,431,12,39,431,78,28,1,1,0,1,139,1,11,51,37,17,3,8,3,82,95,25,2,0,88,11,0,6,3,86205,5615,10,5,0,3,0,3,4,12,10,317,1,0,2,1,40,3,0,0,1,8461,0,55,29,0,2,7,29,0,0,56,89,550,31,3,3,43,21,9,130,1,0,1,68121,708,37,64,2,0,0,0,2,3104,756,0,13,2324,8,12,4,2584,172,3341,2,2049,0,10,172,17,49,0,1,4,4,0,37,0,0,84,897,0,0,3,166,852,1,5,6,0,28,3065,4,476,47,4,0,24,2,0,2,6,158,32,7,0,112,8
TCGA.AA.3673.01A,1466,1476,10,250,1,0,0,156,17,58,52,0,18,563,15,1,9448,5,0,37,2,124,1389,0,63713,152,17,2,18,19,0,3,356,128,3,157,4,907,2,94,567,137,26,11,123,5,9,0,0,0,1,39,1,6,44,23,24,2,21,0,52,86,4,2,0,49,6,0,2,3,67609,2831,2,16,0,7,0,0,5,32,21,240,9,0,4,1,51,1,0,2,28,2688,0,0,17,15,0,4,21,1,0,19,170,842,11,1,1,12,83,3,42,0,0,0,79659,2456,30,103,0,0,0,5,2,2861,1227,0,21,5222,17,11,1,1605,210,7486,16,4254,5,13,49,21,28,0,0,1,3,0,12,1,0,83,1724,2,9,4,432,612,1,1,7,0,12,974,20,137,11,2,1,24,1,2,3,12,144,36,6,2,83,5
TCGA.AA.3678.01A,2696,2196,7,436,0,3,0,165,52,139,609,5,40,882,26,19,24400,8,2,33,0,687,2353,0,205420,274,19,1,11,25,2,1,682,652,19,90,10,970,8,104,2481,166,107,99,688,20,11,1,1,0,0,100,1,59,142,31,43,0,17,0,87,732,94,15,0,87,59,0,28,33,203814,7503,6,22,0,17,0,0,11,47,12,301,9,0,0,8,149,2,0,3,24,7892,2,0,54,17,4,7,37,1,0,22,1576,2597,21,2,0,29,84,34,340,0,0,1,59536,2850,47,144,1,0,1,2,3,2969,960,0,54,12128,11,41,8,7344,719,13984,22,11369,1,42,211,68,36,0,0,7,2,0,46,7,1,280,2857,1,1,6,772,996,2,2,5,0,30,3500,31,997,284,3,3,90,4,4,6,19,139,304,105,2,512,37
TCGA.AA.3679.01A,714,1297,4,344,2,6,0,108,23,78,187,3,34,820,12,6,14288,12,4,59,0,176,2628,1,106113,167,21,4,11,25,0,0,665,989,2,80,28,1841,6,145,1401,355,44,58,396,10,3,1,2,0,1,119,0,22,101,18,25,1,12,2,173,436,47,14,1,126,22,1,15,8,88654,2718,8,4,0,17,0,4,18,19,7,109,5,0,3,10,137,5,0,15,20,6214,1,0,31,4,2,3,35,0,0,9,246,749,6,4,2,12,40,23,139,0,0,0,130135,1677,35,111,0,0,0,0,6,2400,708,0,48,17796,22,76,13,5218,611,15749,19,9292,6,44,230,24,7,0,1,6,4,0,38,11,0,108,3606,1,1,3,329,326,1,1,4,0,8,1063,17,224,37,1,0,27,0,3,0,6,304,212,19,2,133,33
TCGA.AA.3681.01A,2065,2766,12,388,2,0,0,170,29,131,286,0,34,1027,28,17,18451,11,0,56,1,661,2093,0,200162,425,23,4,1,25,0,0,718,511,7,136,18,2190,7,185,1523,449,34,64,432,49,11,2,1,0,1,172,3,6,78,21,34,2,20,2,39,318,69,7,1,41,6,0,1,10,136261,6434,5,11,0,14,4,0,14,14,5,159,10,0,1,2,81,0,0,0,7,6280,0,0,51,15,2,0,19,0,0,30,415,901,18,3,0,38,72,17,461,2,0,2,65231,1767,43,132,0,0,1,2,3,4107,936,0,61,3932,18,41,2,4366,293,18083,31,9222,2,18,124,20,34,0,0,4,6,0,77,4,0,145,2160,2,0,3,240,450,0,1,7,0,101,1562,11,317,30,1,1,49,3,2,0,12,165,59,7,0,67,13
TCGA.AA.3684.01A,603,1216,3,308,0,0,0,83,13,64,42,1,33,553,33,20,13347,6,0,43,0,832,1323,0,161259,156,65,4,3,33,0,0,397,246,2,110,6,1068,4,54,382,102,6,23,71,13,2,3,2,0,1,133,0,6,46,50,31,3,14,0,38,155,36,2,0,80,6,0,8,1,122824,2661,6,45,1,40,0,2,21,11,14,310,3,0,1,2,59,2,0,0,9,5261,0,0,36,6,1,2,7,1,0,7,204,508,5,1,0,10,59,19,127,0,0,0,153708,4125,141,136,0,0,0,5,3,7572,1761,0,14,3642,4,27,6,1573,110,7735,21,3487,0,5,53,18,14,0,8,0,2,0,46,0,0,77,976,2,2,0,209,358,0,1,13,0,20,716,3,124,21,0,0,39,2,0,1,2,22,52,7,2,17,4
TCGA.AA.3685.01A,1706,2324,6,148,2,0,0,132,65,178,87,0,42,1207,10,8,18223,5,0,60,0,311,1323,0,135411,264,20,4,11,34,1,0,1050,392,1,162,15,1784,6,166,1067,279,59,40,344,14,7,1,1,2,3,140,0,18,74,14,39,1,19,0,60,897,54,19,0,81,18,0,6,5,144210,4839,3,18,1,16,0,11,3,24,11,192,6,0,0,2,106,8,0,0,49,5957,1,0,47,10,2,7,37,2,0,33,229,600,25,4,1,10,79,11,62,1,2,0,220877,3447,50,121,1,0,0,7,1,3725,1574,1,66,24912,37,19,6,2911,515,4182,4,2550,2,27,145,23,30,0,1,3,7,0,111,5,1,91,2367,3,6,4,394,364,0,1,4,0,29,1733,13,218,27,0,1,61,2,2,1,14,372,73,14,1,94,13
TCGA.AA.3693.01A,7448,4272,11,1033,4,2,0,113,12,75,179,0,115,646,75,0,28287,13,1,79,0,619,2086,1,285369,313,204,5,7,28,1,0,902,908,5,110,19,4422,14,401,6289,654,55,126,1666,84,36,2,4,0,0,224,3,80,135,89,67,3,51,1,65,288,55,5,0,359,80,1,14,14,166095,3704,15,430,5,308,0,1,39,49,27,1480,6,0,1,5,131,11,0,2,74,14838,4,0,40,16,1,3,83,3,0,45,1082,3634,19,4,3,46,90,117,400,0,0,3,235635,26918,435,334,1,7,1,66,13,13769,5115,1,183,48797,35,64,3,10346,591,20074,50,9318,2,69,532,58,38,3,31,11,4,1,82,15,1,378,2526,6,3,2,850,1345,1,1,6,0,18,2995,12,604,61,1,1,72,0,2,7,32,188,72,14,2,249,34
TCGA.AA.3696.01A,1772,4044,11,381,1,1,0,443,48,232,387,5,27,252,26,4,24489,11,2,26,0,232,1473,0,180789,284,40,2,7,51,1,0,729,617,8,47,6,551,5,42,1855,212,29,55,317,14,4,0,0,4,0,283,3,17,55,34,10,0,7,0,165,69,27,0,2,151,17,1,6,18,117804,2625,3,17,3,26,0,1,7,32,25,547,7,0,0,0,237,4,2,1,22,6114,0,1,63,9,1,14,42,1,1,38,149,962,4,4,1,35,67,26,354,0,0,3,63618,1103,63,54,1,0,0,1,4,3607,873,0,18,20544,3,43,2,6987,349,22871,27,26485,4,43,580,36,36,0,2,0,2,0,16,14,0,241,3885,8,17,3,401,1340,0,0,8,0,38,3646,4,556,110,3,0,112,3,4,6,4,181,102,7,2,167,16
TCGA.AA.3715.01A,1319,2836,14,540,1,0,0,171,63,210,26,0,23,756,42,1,6080,15,0,64,0,1844,1607,0,59900,93,29,3,3,69,2,1,1826,84,7,332,12,2437,7,149,1021,272,29,52,226,16,9,1,0,1,0,148,2,13,54,58,23,2,19,0,85,337,58,8,1,162,13,4,13,22,219712,5854,1,11,0,8,1,0,20,28,14,258,7,1,2,6,60,4,0,0,21,10083,1,0,54,10,5,5,59,2,1,23,352,985,23,9,2,10,112,13,154,1,0,2,131023,3640,81,81,0,0,0,1,10,6396,1623,1,98,5809,6,30,9,3675,319,17173,22,11440,0,28,149,22,35,0,0,5,5,0,91,7,4,133,1800,5,5,3,367,608,0,2,11,0,68,644,2,152,26,2,0,53,0,0,1,12,102,101,13,0,15,11
TCGA.AA.3811.01A,7970,2886,6,1588,15,13,0,555,135,403,482,9,101,4384,50,434,58158,67,3,159,0,1161,3470,4,300431,397,51,3,11,59,0,8,1945,411,18,388,47,3252,15,636,6368,1209,373,845,2495,87,33,3,4,3,4,388,5,58,213,47,59,2,46,2,150,1343,173,39,1,67,58,0,64,113,534123,11749,8,65,0,76,2,4,5,164,94,1153,18,0,5,9,614,6,1,20,17,27540,2,13,181,27,30,16,210,0,0,48,1524,3142,62,5,4,93,269,85,312,4,0,3,205195,6262,128,253,0,3,26,10,33,43425,9819,2,225,11016,68,191,72,16333,2140,31443,96,15365,6,79,1136,93,46,0,1,13,9,1,74,2,3,384,6641,17,78,24,1294,1454,1,10,7,1,22,4446,41,930,187,3,8,198,9,11,12,17,508,432,27,4,26,13
TCGA.AA.3812.01A,2936,3405,4,429,1,3,1,264,96,335,216,0,98,3797,32,48,40747,7,1,55,0,712,3132,2,275292,330,124,15,24,90,0,1,1850,439,8,472,39,2204,9,232,970,394,56,96,336,16,7,4,1,2,3,208,2,49,107,55,128,7,72,0,97,560,52,31,1,539,49,0,11,8,463620,9030,1,222,3,303,1,3,24,70,33,459,10,0,1,12,197,13,0,8,83,5768,3,0,73,27,1,4,38,3,1,34,1298,1612,24,4,4,18,164,17,110,4,2,3,826919,16966,254,311,1,0,3,88,14,14722,4895,1,40,13412,21,43,10,2711,635,20524,24,8803,2,61,187,30,9,6,26,3,21,2,57,5,0,111,3905,4,2,8,489,499,0,4,13,2,31,1736,13,338,34,0,0,96,5,4,11,17,268,425,31,5,80,17
TCGA.AA.3814.01A,2064,1990,6,285,4,2,0,111,63,149,271,1,54,1850,22,7,27807,9,4,41,0,507,2059,0,177057,184,43,6,11,112,0,0,1365,951,5,251,41,2122,6,205,1114,356,68,46,355,16,5,5,1,4,1,174,0,19,62,44,64,1,22,0,67,330,53,15,1,112,19,1,9,10,506199,9047,1,59,1,83,2,5,8,45,24,294,6,0,5,4,140,6,2,7,34,4246,1,0,55,11,0,3,22,0,0,24,436,976,19,12,4,15,75,10,388,3,0,1,408613,5242,97,100,0,1,2,23,7,11185,3938,0,51,16978,41,53,19,2944,550,30055,32,12311,3,34,388,25,25,0,1,2,9,0,49,10,1,78,3701,7,1,6,450,330,1,0,13,0,40,2595,29,317,46,0,2,115,2,2,4,9,263,493,24,3,216,33
TCGA.AA.3818.01A,1995,2173,5,586,3,2,0,180,35,181,232,2,121,5348,39,4,19124,10,0,78,0,556,1597,0,138855,157,58,9,6,142,0,2,1146,134,7,373,63,2304,4,281,1072,405,40,97,323,23,6,2,0,3,1,204,0,47,40,30,97,6,69,1,72,770,68,26,0,177,47,1,10,18,324802,5484,7,166,1,277,0,8,6,36,34,425,10,1,0,6,180,5,0,11,78,8203,1,0,77,8,1,1,48,0,1,28,508,1138,29,2,0,19,68,27,98,1,0,3,582680,21612,274,179,0,2,11,47,10,18567,4425,0,265,12164,30,85,24,5139,905,24255,46,12444,5,114,314,27,21,6,15,5,7,0,69,4,1,161,3190,2,15,6,554,449,1,1,13,1,32,2957,29,592,74,3,1,103,2,1,7,13,235,236,12,2,80,16
TCGA.AA.3821.01A,7491,3513,17,734,5,2,0,210,114,325,693,4,99,2386,64,33,30609,27,0,108,0,1754,2618,2,382880,469,44,4,12,149,1,1,1700,360,18,438,94,3916,11,419,2576,498,195,344,852,48,14,1,1,3,8,292,4,54,157,57,50,1,41,2,86,2425,153,50,0,72,54,0,30,56,425768,15598,7,26,2,28,0,4,60,87,28,447,7,0,2,3,198,5,4,28,97,17137,0,0,107,24,13,6,134,4,0,72,1210,2450,47,10,1,65,329,26,953,13,1,3,167074,19031,169,391,0,2,78,7,4,7600,2704,1,753,7712,12,127,57,14926,1488,34927,98,17060,13,303,338,99,30,1,0,25,18,0,287,9,2,319,2811,8,1,14,698,1064,5,10,26,0,84,1374,39,547,112,2,5,100,4,1,7,38,167,514,39,0,88,28
TCGA.AA.3831.01A,1246,3886,9,164,0,1,0,111,58,123,21,1,20,1206,15,2,15847,6,1,23,0,309,3262,0,168581,183,19,3,10,33,0,2,693,369,4,120,13,1021,4,63,682,98,23,43,170,8,3,0,0,1,0,126,0,11,61,11,56,1,23,1,99,403,75,16,0,42,11,0,9,14,113112,3957,4,11,0,23,0,0,4,14,9,148,6,0,1,2,119,8,0,2,11,3252,0,0,31,5,3,8,25,0,1,24,769,1082,9,16,1,16,48,17,85,1,0,2,150477,1947,42,90,0,0,0,2,10,5004,1511,0,15,6090,5,30,7,2087,283,8670,14,8286,2,26,110,23,15,0,0,0,6,0,29,4,3,55,1981,6,1,2,264,267,1,0,16,0,15,581,3,127,25,0,0,46,5,1,3,11,121,233,6,0,34,6
TCGA.AA.3833.01A,1324,1580,1,382,0,1,0,54,33,118,121,2,60,2840,21,9,13192,2,0,47,0,697,1105,0,87739,119,32,5,8,35,0,0,582,159,3,330,17,1491,5,130,292,146,20,20,135,3,4,0,0,1,1,54,1,18,43,14,57,2,33,0,64,400,66,15,0,55,18,0,2,6,215813,5258,9,77,0,95,0,0,7,14,17,215,5,0,3,2,86,1,3,4,29,4045,0,0,39,7,3,1,24,0,0,19,251,917,14,2,0,10,64,6,52,0,0,1,473687,7434,81,100,0,1,4,28,8,8360,2393,0,41,3665,9,17,10,1673,221,8887,4,4333,1,15,69,13,13,3,12,0,5,0,61,2,0,64,1759,3,4,6,264,226,1,2,3,3,49,570,5,102,25,1,0,46,1,0,1,9,47,134,3,0,18,5
TCGA.AA.3837.01A,1163,1983,4,261,2,0,1,148,21,102,136,3,29,944,21,6,21889,4,0,62,0,489,1689,1,250047,353,59,3,1,61,1,0,703,100,9,100,23,1597,3,84,1007,208,10,97,278,26,6,2,0,0,1,104,2,21,46,52,63,3,20,0,52,51,31,2,0,236,21,0,5,12,274032,5879,2,26,1,120,0,3,9,18,6,387,1,0,2,3,75,7,1,3,16,7846,4,0,67,4,1,1,22,0,0,25,289,889,4,2,3,12,45,9,362,0,0,2,167675,3216,154,113,3,1,0,4,7,8805,1871,1,6,10341,5,44,9,2246,183,10866,21,6405,1,44,267,33,16,1,5,1,4,0,18,3,0,125,1521,2,1,1,225,523,3,1,10,0,32,1730,4,281,40,1,1,35,2,2,7,8,107,208,17,1,79,6
TCGA.AA.3842.01A,1046,1466,4,266,6,2,0,105,107,188,68,0,37,1120,18,21,14289,5,1,38,0,414,1811,0,110441,113,25,4,11,45,0,0,1166,116,10,314,18,1881,4,182,747,204,64,54,328,11,8,0,2,1,1,148,0,22,51,11,35,1,24,0,47,682,43,33,0,97,22,0,4,11,155780,6805,3,52,2,90,1,5,6,8,19,141,11,3,1,1,50,8,0,12,31,3383,0,0,23,5,0,3,16,0,1,18,304,718,23,4,2,21,60,9,44,6,0,2,377725,7241,72,111,0,0,5,19,7,4659,1608,0,79,1174,39,35,31,2348,636,7446,13,3374,4,47,86,19,33,1,6,2,5,0,25,0,1,88,2835,0,1,6,336,197,0,0,15,0,32,1045,18,156,19,1,2,39,1,2,8,7,200,150,22,0,43,13
TCGA.AA.3844.01A,1393,2119,3,180,2,1,0,176,92,183,256,0,34,1143,13,3,20021,6,0,56,0,163,1087,0,156885,134,22,1,2,19,0,0,2157,569,3,107,29,2240,11,148,612,239,13,56,258,17,4,1,0,4,0,81,0,18,67,9,34,1,9,0,23,1495,162,55,1,98,18,0,3,5,140483,6079,4,10,0,23,0,4,3,11,10,99,6,0,0,3,70,17,0,1,4,2804,1,0,40,2,0,0,28,0,0,29,832,654,35,2,1,19,33,13,442,4,0,2,180627,1368,22,207,0,0,1,3,1,2917,912,0,39,5298,18,41,23,1429,377,7113,14,2293,0,23,117,16,18,0,0,3,5,0,69,0,2,51,1935,0,0,4,218,193,0,1,41,0,64,1940,6,165,18,2,0,33,0,2,1,13,144,161,2,2,97,12
